timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pitch,roll,yaw
2025-04-21T23:00:23.744268,-1.087,-1.03,0.204,-74.554,-247.773,-168.88,-42.53,98.61,153.4
2025-04-21T23:00:23.744468,0.736,1.056,0.051,-181.151,144.34,94.634,-29.04,-83.49,159.28
2025-04-21T23:00:23.744521,-1.905,-1.193,0.059,-164.333,58.509,79.892,-77.11,112.49,138.46
2025-04-21T23:00:23.744560,0.713,0.335,-1.562,153.243,-74.491,-194.571,-4.07,89.65,197.18
2025-04-21T23:00:23.744589,-0.261,-1.409,-0.061,-47.103,-237.443,-242.476,70.27,-125.06,315.49
2025-04-21T23:00:23.744618,0.7,1.555,0.963,10.415,-183.237,220.943,21.78,-44.63,275.38
2025-04-21T23:00:23.744646,-0.993,0.419,-0.333,-12.767,184.519,-58.344,39.83,148.11,53.42
2025-04-21T23:00:23.744679,-1.988,1.04,-1.563,-215.665,247.639,14.052,52.16,-163.94,322.04
2025-04-21T23:00:23.744710,-1.104,-1.082,0.84,225.747,4.631,210.66,-48.04,-83.95,46.58
2025-04-21T23:00:23.744737,-0.063,-1.939,1.965,113.118,196.689,-184.633,-60.82,-137.9,147.78
2025-04-21T23:00:23.744773,1.661,-1.778,1.573,16.198,176.037,58.224,-56.81,89.56,54.57
2025-04-21T23:00:23.744799,-0.836,1.711,-1.294,116.984,-241.438,172.753,79.05,143.61,110.0
2025-04-21T23:00:23.744826,0.8,0.878,-0.386,238.479,-17.466,56.954,-87.77,-113.55,90.36
2025-04-21T23:00:23.744852,-0.72,-0.269,-0.923,-192.259,-77.385,-18.873,-8.5,27.79,260.95
2025-04-21T23:00:23.744878,0.721,1.875,-1.151,-3.373,99.054,244.041,-87.61,-176.94,6.3
2025-04-21T23:00:23.744904,-0.835,1.73,0.742,-137.135,238.654,-235.645,20.97,102.84,175.58
2025-04-21T23:00:23.744929,0.934,-0.201,-1.073,-194.89,80.9,15.327,83.48,110.83,205.7
2025-04-21T23:00:23.744955,0.075,0.288,-1.001,-65.757,66.583,-134.968,59.26,-124.06,290.99
2025-04-21T23:00:23.744981,0.317,1.668,-0.468,91.423,-193.564,-130.0,-27.91,-11.51,250.99
2025-04-21T23:00:23.745006,0.241,-1.735,-1.547,65.361,-169.429,114.757,29.34,-168.16,287.05
2025-04-21T23:00:23.745044,0.017,0.634,-1.817,-60.279,191.432,-1.409,28.03,-157.69,121.29
2025-04-21T23:00:23.745092,-1.207,1.4,-1.159,-192.144,107.23,184.442,20.58,-109.64,168.58
2025-04-21T23:00:23.745118,1.524,0.189,1.955,-75.406,216.004,-159.449,-26.96,138.15,181.15
2025-04-21T23:00:23.745144,0.913,0.425,-1.042,-48.629,-41.753,37.854,-58.52,26.57,206.72
2025-04-21T23:00:23.745169,1.699,0.106,1.807,-207.379,-130.621,-207.007,-26.64,48.08,301.36
2025-04-21T23:00:23.745209,0.099,-1.565,-0.625,23.542,93.539,129.406,58.51,80.31,300.55
2025-04-21T23:00:23.745235,0.437,1.11,0.205,-118.954,179.444,220.926,65.88,128.43,261.95
2025-04-21T23:00:23.745261,-1.38,1.724,-1.076,-60.166,-143.055,-38.225,-24.18,-158.19,98.5
2025-04-21T23:00:23.745288,1.332,-0.507,-0.074,218.308,182.937,-157.247,-46.96,4.44,4.2
2025-04-21T23:00:23.745314,-0.818,0.217,-1.148,-215.813,53.858,-56.409,-58.39,-87.33,213.65
2025-04-21T23:00:23.745342,-0.518,-1.083,-0.62,91.78,-206.428,49.366,-34.73,-161.45,359.98
2025-04-21T23:00:23.745367,0.763,0.027,-1.437,247.439,-54.17,116.974,-59.7,56.07,351.73
2025-04-21T23:00:23.745393,1.613,0.189,-0.851,-120.587,214.065,23.234,89.59,171.06,198.82
2025-04-21T23:00:23.745419,0.774,0.034,-1.012,122.102,-210.75,-244.674,-47.28,111.54,40.32
2025-04-21T23:00:23.745452,-1.104,-0.733,0.881,58.501,112.114,167.327,-42.29,43.75,102.59
2025-04-21T23:00:23.745483,-0.672,-0.428,1.05,187.439,126.45,-154.374,0.1,105.62,8.77
2025-04-21T23:00:23.745508,1.249,-0.53,-0.772,127.729,-176.935,-24.265,66.41,-37.96,261.79
2025-04-21T23:00:23.745534,1.459,0.694,1.703,73.202,134.738,8.38,26.84,35.62,17.88
2025-04-21T23:00:23.745558,0.712,-0.868,1.534,123.269,-112.927,-56.935,-42.15,16.25,5.44
2025-04-21T23:00:23.745586,1.008,1.466,1.062,-72.835,220.64,-169.608,49.45,-30.75,254.29
2025-04-21T23:00:23.745612,-1.746,-1.699,0.34,-19.645,85.969,-5.218,-43.0,89.59,273.98
2025-04-21T23:00:23.745637,0.617,-0.845,-0.39,146.091,-43.032,215.555,-47.82,115.65,113.56
2025-04-21T23:00:23.745663,1.71,-1.453,-1.104,-209.411,-236.682,-42.948,70.45,-52.92,274.72
2025-04-21T23:00:23.745688,-1.079,-0.8,-0.218,-33.849,-247.141,77.836,76.0,-88.16,223.53
2025-04-21T23:00:23.745712,-0.344,-1.392,1.414,182.014,29.345,39.79,57.07,-158.32,313.72
2025-04-21T23:00:23.745737,0.908,1.684,-1.013,-82.786,153.957,64.075,-1.57,-175.58,190.71
2025-04-21T23:00:23.745762,-0.031,-0.233,-1.772,109.077,148.766,98.961,-57.36,55.21,264.61
2025-04-21T23:00:23.745787,0.514,1.236,-0.126,-24.394,73.03,-152.347,42.08,-88.28,258.88
2025-04-21T23:00:23.745813,1.073,1.881,-0.472,198.633,13.179,-170.633,0.25,146.57,242.19
2025-04-21T23:00:23.745839,-1.788,-1.437,-1.76,227.962,-234.285,-10.641,-67.09,-128.99,254.26
2025-04-21T23:00:23.745865,-0.637,-0.531,1.564,229.101,70.872,-171.86,88.98,-125.93,5.89
2025-04-21T23:00:23.745890,1.138,-0.442,-0.825,53.212,-11.077,-229.269,-20.76,-96.34,186.11
2025-04-21T23:00:23.745915,-0.814,-1.586,1.886,44.389,-32.632,227.684,47.95,-80.76,60.3
2025-04-21T23:00:23.745940,-1.568,-1.583,-0.406,-39.413,14.453,-206.091,80.23,-28.33,133.92
